0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:28:36 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:28:36 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:28:36 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:28:36 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:28:36 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:28:36 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:28:37 +0900] "GET /MySQLProject/Board/board_delete.jsp?idx=3&page=1 HTTP/1.1" 200 1271
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:28:37 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:28:40 +0900] "POST /MySQLProject/Board/board_delete_pro.jsp HTTP/1.1" 500 2665
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:29:03 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:29:03 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:29:03 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:29:03 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:29:03 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:29:03 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:29:04 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:29:04 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:29:04 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:29:04 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:29:05 +0900] "GET /MySQLProject/Board/board_delete.jsp?idx=3&page=1 HTTP/1.1" 200 1271
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:29:05 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:29:07 +0900] "POST /MySQLProject/Board/board_delete_pro.jsp HTTP/1.1" 500 2662
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:31:42 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:31:42 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
